step,compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L0_0,__PARA__L0_1,__PARA__L0_1_0,__PARA__L0_2,__PARA__L0_2_0,__PARA__L0_3,__PARA__L0_3_0,__PIPE__L0,__PIPE__L0_1,__PIPE__L0_2,__PIPE__L0_3,__TILE__L0,__TILE__L0_1,__TILE__L0_2,__TILE__L0_3,pragma1,pragma2,pragma3,pragma4,pragma5,pragma6,pragma7,pragma8,pragma9,pragma10,pragma11,pragma12,pragma13,pragma14,pragma15,pragma16
0,03min 35sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1,03min 28sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2,03min 26sec,623205 (2.493ms),29831 (2%),26290 (1%),280 (6%),28 (~0%),0 (~0%),1.0,1.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
3,03min 20sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,03min 20sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5,03min 29sec,570405 (2.282ms),29750 (2%),24702 (1%),216 (5%),28 (~0%),0 (~0%),1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
6,03min 36sec,570405 (2.282ms),29750 (2%),24702 (1%),216 (5%),28 (~0%),0 (~0%),40.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,03min 41sec,670405 (2.682ms),30395 (2%),25695 (1%),170 (3%),28 (~0%),12 (1%),40.0,20.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
8,03min 43sec,670405 (2.682ms),30395 (2%),25695 (1%),170 (3%),28 (~0%),12 (1%),40.0,20.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,03min 35sec,405216 (1.621ms),42977 (3%),36238 (1%),216 (5%),120 (1%),0 (~0%),40.0,20.0,1.0,8.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,03min 54sec,505205 (2.021ms),44246 (3%),37517 (1%),202 (4%),120 (1%),8 (~0%),40.0,20.0,59.0,8.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
