cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L3,__PARA__L4,__PARA__L5,__PIPE__L0,__PIPE__L1,__PIPE__L3,__PIPE__L4,__TILE__L0,__TILE__L1,__TILE__L3,__TILE__L4,step
565336 (2.416ms),12043 (1%),11107 (~0%),62 (1%),22 (~0%),0 (~0%),1,1,1,1,off,off,off,off,1,1,1,1,0
104336 (0.446ms),54246 (4%),76433 (3%),66 (1%),375 (5%),0 (~0%),1,1,1,25,off,off,off,off,1,1,1,1,1
8927 (0.038ms),754858 (63%),900554 (38%),60 (1%),7500 (109%),0 (~0%),1,1,1,100,off,off,off,off,1,1,1,1,2
8153 (0.035ms),3656655 (309%),3875656 (163%),54 (1%),37500 (548%),0 (~0%),1,5,1,100,off,off,off,off,1,1,1,1,3
149242 (0.638ms),36626 (3%),45109 (1%),66 (1%),216 (3%),0 (~0%),1,5,1,10,off,off,off,off,1,1,1,1,4
186892 (0.799ms),36645 (3%),45128 (1%),66 (1%),216 (3%),0 (~0%),1,20,1,10,off,off,off,off,1,1,1,1,5
163092 (0.697ms),54251 (4%),72843 (3%),66 (1%),366 (5%),0 (~0%),1,20,1,20,off,off,off,off,1,1,1,1,6
,,,,,,1,20,1,100,off,off,off,off,1,1,1,1,7
,,,,,,10,20,1,100,off,off,off,off,1,1,1,1,8
,,,,,,10,20,10,100,off,off,off,off,1,1,1,1,9
246289 (1.053ms),114873 (9%),142979 (6%),48 (1%),975 (14%),0 (~0%),10,20,10,20,off,off,off,off,1,1,1,1,10
258889 (1.106ms),133033 (11%),181088 (7%),48 (1%),1050 (15%),0 (~0%),10,20,10,25,off,off,off,off,1,1,1,1,11
