cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L3,__PIPE__L4,__TILE__L0,__TILE__L1,__TILE__L3,__TILE__L4,step
102545 (0.41ms),43742 (3%),55051 (2%),34 (~0%),84 (1%),2 (~0%),1.0,1.0,1.0,1.0,1,1.0,off,off,off,off,1.0,1.0,1.0,1.0,0
     ?,88373 (7%),83427 (3%),42 (~0%),83 (1%),0 (~0%),1.0,1.0,16.0,1.0,1,1.0,off,off,off,off,1.0,1.0,1.0,1.0,1
465199 (1.861ms),58573 (4%),56653 (2%),34 (~0%),80 (1%),2 (~0%),1.0,1.0,48.0,1.0,1,1.0,off,off,off,off,1.0,1.0,1.0,1.0,2
465199 (1.861ms),58573 (4%),56653 (2%),34 (~0%),80 (1%),2 (~0%),50.0,1.0,48.0,1.0,1,1.0,off,off,off,off,1.0,1.0,1.0,1.0,3
815242 (3.261ms),302025 (25%),291395 (12%),24 (~0%),2017 (29%),1 (~0%),50.0,1.0,48.0,50.0,1,1.0,off,off,off,off,1.0,1.0,1.0,1.0,4
569815 (2.279ms),3894149 (329%),4004542 (169%),32 (~0%),32257 (471%),1 (~0%),50.0,1.0,48.0,50.0,16,1.0,off,off,off,off,1.0,1.0,1.0,1.0,5
587835 (2.351ms),3889897 (329%),3993367 (168%),28 (~0%),32259 (471%),1 (~0%),50.0,1.0,48.0,10.0,16,1.0,off,off,off,off,1.0,1.0,1.0,1.0,6
587895 (2.352ms),3890249 (329%),3993791 (168%),32 (~0%),32261 (471%),2 (~0%),50.0,2.0,48.0,10.0,16,2.0,off,,off,off,1.0,1.0,1.0,1.0,7
617175 (2.469ms),94098 (7%),89799 (3%),144 (3%),677 (9%),2 (~0%),50.0,2.0,12.0,10.0,16,2.0,off,,off,off,1.0,1.0,1.0,1.0,8
627555 (2.51ms),94031 (7%),89800 (3%),152 (3%),677 (9%),2 (~0%),50.0,2.0,12.0,25.0,16,2.0,off,,off,off,1.0,1.0,1.0,1.0,9
636895 (2.548ms),93046 (7%),88407 (3%),152 (3%),677 (9%),2 (~0%),50.0,2.0,16.0,25.0,16,2.0,off,,off,off,1.0,1.0,1.0,1.0,10
,,,,,,50.0,2.0,16.0,25.0,16,50.0,off,,off,off,1.0,1.0,1.0,1.0,11
,,,,,,50.0,2.0,24.0,25.0,16,50.0,off,,off,off,1.0,1.0,1.0,1.0,12
89167 (0.357ms),196389 (16%),195099 (8%),16 (~0%),831 (12%),0 (~0%),,,,,24,,,,,,,,,,13
88227 (0.353ms),273276 (23%),348273 (14%),16 (~0%),1647 (24%),0 (~0%),,,,,48,,,,,,,,,,14
89167 (0.357ms),196389 (16%),195099 (8%),16 (~0%),831 (12%),0 (~0%),,,,,24,,,,,,,,,,15
88227 (0.353ms),273276 (23%),348273 (14%),16 (~0%),1647 (24%),0 (~0%),,,,,48,,,,,,,,,,16
88227 (0.353ms),273276 (23%),348273 (14%),16 (~0%),1647 (24%),0 (~0%),,,,,48,,,,,,,,,,17
89167 (0.357ms),196389 (16%),195099 (8%),16 (~0%),831 (12%),0 (~0%),,,,,24,,,,,,,,,,18
88227 (0.353ms),273276 (23%),348273 (14%),16 (~0%),1647 (24%),0 (~0%),,,,,48,,,,,,,,,,19
