cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PIPE__L0,__PIPE__L1,__PIPE__L3,__TILE__L0,__TILE__L1,__TILE__L3,step
1626775 (6.507ms),11575 (~0%),8476 (~0%),138 (3%),5 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1,0
5072 (0.02ms),421106 (35%),1042174 (44%),106 (2%),5120 (74%),0 (~0%),1,1,1,1,64,off,off,off,1,1,1,1
1232 (0.005ms),421106 (35%),1042166 (44%),106 (2%),5120 (74%),0 (~0%),1,1,16,1,64,off,off,off,1,1,1,2
6057 (0.024ms),57723 (4%),316495 (13%),90 (2%),320 (4%),0 (~0%),1,4,16,1,64,off,off,off,1,1,1,3
6057 (0.024ms),57723 (4%),316495 (13%),90 (2%),320 (4%),0 (~0%),64,4,16,1,64,off,off,off,1,1,1,4
6057 (0.024ms),57723 (4%),316495 (13%),90 (2%),320 (4%),0 (~0%),64,4,64,1,64,off,off,off,1,1,1,5
369061 (1.476ms),36424 (3%),21700 (~0%),106 (2%),15 (~0%),0 (~0%),64,4,64,1,16,off,off,off,1,1,1,6
6057 (0.024ms),57723 (4%),316495 (13%),90 (2%),320 (4%),0 (~0%),64,4,64,1,64,off,off,off,1,1,1,7
,,,,,,64,4,64,8,64,off,off,off,1,1,1,8
,,,,,,64,4,64,16,64,off,off,off,1,1,1,9

