cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L5,__PIPE__L0,__PIPE__L1,__PIPE__L2,__TILE__L0,__TILE__L1,__TILE__L2,step
5452 (0.022ms),108563 (9%),76991 (3%),122 (2%),238 (3%),0 (~0%),1,1,1,off,off,off,1,1,1,0
5453 (0.022ms),202747 (17%),252609 (10%),122 (2%),1134 (16%),0 (~0%),16,1,1,off,off,off,1,1,1,1
31693 (0.127ms),70032 (5%),58485 (2%),138 (3%),238 (3%),0 (~0%),32,1,1,off,off,off,1,1,1,2
59342 (0.237ms),17385 (1%),13656 (~0%),154 (3%),18 (~0%),0 (~0%),32,32,1,off,off,off,1,1,1,3
59342 (0.237ms),17218 (1%),13645 (~0%),154 (3%),18 (~0%),0 (~0%),128,32,1,off,off,off,1,1,1,4
55957 (0.224ms),30128 (2%),28813 (1%),154 (3%),144 (2%),0 (~0%),128,32,8,off,off,off,1,1,1,5
55829 (0.223ms),29957 (2%),28787 (1%),154 (3%),144 (2%),0 (~0%),128,128,8,off,off,off,1,1,1,6
55246 (0.221ms),94618 (7%),94686 (4%),122 (2%),576 (8%),0 (~0%),128,128,32,off,off,off,1,1,1,7
55374 (0.221ms),94785 (8%),94712 (4%),122 (2%),576 (8%),0 (~0%),32,128,32,off,off,off,1,1,1,8
29005 (0.116ms),746974 (63%),701567 (29%),106 (2%),2496 (36%),0 (~0%),32,128,32,flatten,off,off,1,1,1,9
29133 (0.117ms),747146 (63%),701598 (29%),106 (2%),2496 (36%),0 (~0%),32,32,32,flatten,off,off,1,1,1,10
,,,,,,32,32,32,flatten,flatten,off,1,1,1,11
,,,,,,32,32,32,flatten,flatten,,1,1,1,12
