cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L2,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PIPE__L0,__PIPE__L1,__PIPE__L3,__PIPE__L4,__TILE__L0,__TILE__L1,__TILE__L3,__TILE__L4,step
48263191 (193.053ms),22534 (1%),16295 (~0%),292 (6%),5 (~0%),0 (~0%),1,1,1,1,1,off,off,off,off,1,1,1,1,0
34337111 (137.348ms),110011 (9%),75072 (3%),276 (6%),256 (3%),0 (~0%),1,1,1,64,1,off,off,off,off,1,1,1,1,1
34337111 (137.348ms),109618 (9%),75117 (3%),276 (6%),256 (3%),0 (~0%),1,16,1,64,1,off,off,off,off,1,1,1,1,2
34335191 (137.341ms),109618 (9%),75109 (3%),276 (6%),256 (3%),0 (~0%),16,16,1,64,1,off,off,off,off,1,1,1,1,3
34335191 (137.341ms),110508 (9%),75157 (3%),276 (6%),256 (3%),0 (~0%),16,32,1,64,1,off,off,off,off,1,1,1,1,4
5622231 (22.489ms),149313 (12%),95824 (4%),244 (5%),256 (3%),0 (~0%),16,32,1,64,32,off,off,off,off,1,1,1,1,5
,,,,,,16,32,1,64,128,off,off,off,off,1,1,1,1,6
5622231 (22.489ms),149313 (12%),95824 (4%),244 (5%),256 (3%),0 (~0%),16,32,1,64,32,off,off,off,off,1,1,1,1,7
,,,,,,16,32,1,64,128,off,off,off,off,1,1,1,1,8
6359511 (25.438ms),129651 (10%),85589 (3%),244 (5%),256 (3%),0 (~0%),16,32,1,64,16,off,off,off,off,1,1,1,1,9
6605271 (26.421ms),129289 (10%),85694 (3%),244 (5%),256 (3%),0 (~0%),16,128,1,64,16,off,off,off,off,1,1,1,1,10
6505624 (26.022ms),128303 (10%),84618 (3%),214 (4%),256 (3%),16 (1%),16,128,16,64,16,off,off,off,off,1,1,1,1,11
6505560 (26.022ms),128576 (10%),84616 (3%),214 (4%),256 (3%),16 (1%),32,128,16,64,16,off,off,off,off,1,1,1,1,12
5562200 (22.249ms),150058 (12%),94946 (4%),342 (7%),256 (3%),0 (~0%),32,128,32,64,32,off,off,off,off,1,1,1,1,13
,,,,,,32,128,32,64,128,off,off,off,off,1,1,1,1,14
