cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L2,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PARA__L9,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L3,__PIPE__L4,__PIPE__L5,__PIPE__L6,__TILE__L0,__TILE__L1,__TILE__L2,__TILE__L3,__TILE__L4,__TILE__L5,__TILE__L6,step
768484 (3.074ms),21742 (1%),13078 (~0%),720 (16%),28 (~0%),0 (~0%),1,1,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,0
768489 (3.074ms),22183 (1%),13289 (~0%),720 (16%),28 (~0%),0 (~0%),1,16,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1
,,,,,,1,80,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,2
768489 (3.074ms),22183 (1%),13289 (~0%),720 (16%),28 (~0%),0 (~0%),1,16,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,3
2469284 (9.877ms),55860 (4%),40669 (1%),852 (19%),28 (~0%),0 (~0%),16,16,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,4
2409074 (9.636ms),86999 (7%),43470 (1%),932 (21%),28 (~0%),0 (~0%),80,16,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,5
2409074 (9.636ms),86999 (7%),43470 (1%),932 (21%),28 (~0%),0 (~0%),80,16,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,6
2409074 (9.636ms),88157 (7%),45144 (1%),932 (21%),28 (~0%),0 (~0%),80,20,1,1,1,1,off,off,off,off,off,off,off,1,1,1,1,1,1,1,7
,,,,,,16,80,16,10,16,16,off,off,off,off,off,off,off,1,1,1,1,1,1,1,8
,,,,,,16,16,16,10,16,16,off,off,off,off,off,off,off,1,1,1,1,1,1,1,9
,,,,,,16,16,20,10,16,16,off,off,off,off,off,off,off,1,1,1,1,1,1,1,10
,,,,,,16,16,20,16,16,16,off,off,off,off,off,off,off,1,1,1,1,1,1,1,11
