cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L1,__PARA__L10,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PARA__L8,__PARA__L9,__PIPE__L0,__PIPE__L1,__PIPE__L10,__PIPE__L2,__PIPE__L3,__PIPE__L4,__PIPE__L5,__PIPE__L6,__PIPE__L7,__PIPE__L8,__PIPE__L9,__TILE__L0,__TILE__L1,__TILE__L10,__TILE__L2,__TILE__L3,__TILE__L4,__TILE__L5,__TILE__L6,__TILE__L7,__TILE__L8,__TILE__L9,step
27396591 (109.586ms),156913 (13%),201702 (8%),1030 (23%),606 (8%),60 (6%),1,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,0
27670655 (110.683ms),226147 (19%),282390 (11%),1390 (32%),353 (5%),0 (~0%),6,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,1
27670370 (110.681ms),204715 (17%),235809 (9%),1390 (32%),278 (4%),0 (~0%),13,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,2
27670370 (110.681ms),204854 (17%),236102 (9%),1390 (32%),278 (4%),0 (~0%),26,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,3
27670365 (110.681ms),203681 (17%),235088 (9%),1390 (32%),276 (4%),0 (~0%),78,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,4
27670370 (110.681ms),204854 (17%),236102 (9%),1390 (32%),278 (4%),0 (~0%),26,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,5
27670370 (110.681ms),205168 (17%),236257 (9%),1390 (32%),278 (4%),0 (~0%),26,1,6,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,6
13281695 (53.127ms),151337 (12%),200951 (8%),1206 (27%),179 (2%),16 (1%),26,1,6,78,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,7
13281695 (53.127ms),149956 (12%),196358 (8%),1206 (27%),144 (2%),16 (1%),26,1,13,78,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,8
13281695 (53.127ms),149957 (12%),196364 (8%),1206 (27%),144 (2%),16 (1%),26,1,26,78,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,9
37469285 (149.877ms),149344 (12%),193727 (8%),1174 (27%),139 (2%),16 (1%),26,13,26,78,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,10
37590980 (150.364ms),149895 (12%),193876 (8%),1174 (27%),141 (2%),16 (1%),26,13,26,78,1,1,1,1,26,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,11
14452795 (57.811ms),149397 (12%),194227 (8%),1206 (27%),139 (2%),16 (1%),26,13,26,78,1,78,1,1,26,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,12
