cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PIPE__L0,__PIPE__L1,__PIPE__L3,__PIPE__L4,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L3,__TILE__L4,__TILE__L5,step
852112017 (3408.448ms),12011 (1%),9708 (~0%),1084 (25%),11 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,off,off,1,1,1,1,1,0
86651537 (346.606ms),20926 (1%),16514 (~0%),828 (19%),44 (~0%),16 (1%),1,1,1,1,1,1,16,off,off,off,off,off,1,1,1,1,1,1
62993404 (269.203ms),103840 (8%),70123 (2%),1084 (25%),77 (1%),32 (3%),32,1,1,1,1,1,32,off,off,off,off,off,1,1,1,1,1,2
60569083 (258.842ms),107459 (9%),78349 (3%),572 (13%),77 (1%),80 (8%),32,1,1,1,1,32,32,off,off,off,off,off,1,1,1,1,1,3
60559173 (258.8ms),34228 (2%),31572 (1%),572 (13%),77 (1%),80 (8%),256,1,1,1,1,32,32,off,off,off,off,off,1,1,1,1,1,4
60559173 (258.8ms),34228 (2%),31572 (1%),572 (13%),77 (1%),80 (8%),256,32,1,1,1,32,32,off,off,off,off,off,1,1,1,1,1,5
64322633 (274.883ms),44220 (3%),45349 (1%),572 (13%),154 (2%),96 (10%),256,32,1,1,8,32,32,off,off,off,off,off,1,1,1,1,1,6
,,,,,,256,256,1,1,8,32,32,off,off,off,off,off,1,1,1,1,1,7
,,,,,,256,256,16,1,8,32,32,off,off,off,off,off,1,1,1,1,1,8
,,,,,,256,256,8,1,8,32,32,off,off,off,off,off,1,1,1,1,1,9
,,,,,,256,256,16,1,8,32,32,off,off,off,off,off,1,1,1,1,1,10
