cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L10,__PARA__L11,__PARA__L12,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PARA__L8,__PARA__L9,__PIPE__L0,__PIPE__L1,__PIPE__L12,__PIPE__L13,__PIPE__L2,__PIPE__L3,__PIPE__L4,__PIPE__L5,__PIPE__L6,__PIPE__L7,__PIPE__L9,__TILE__L0,__TILE__L1,__TILE__L12,__TILE__L13,__TILE__L2,__TILE__L3,__TILE__L4,__TILE__L5,__TILE__L6,__TILE__L7,__TILE__L9,step
102827955736 (411311.823ms),16374 (1%),14224 (~0%),532 (12%),11 (~0%),0 (~0%),1,1,1,1,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,0
252569697741 (1010278.791ms),14498 (1%),10313 (~0%),648 (15%),7 (~0%),0 (~0%),1,32,1,1,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,1
553327793688 (2213311.175ms),13919 (1%),11758 (~0%),468 (10%),8 (~0%),0 (~0%),1,256,1,1,1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,2
553327793688 (2213311.175ms),14023 (1%),11768 (~0%),468 (10%),8 (~0%),0 (~0%),1,256,1,1,16,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,3
553327793688 (2213311.175ms),14021 (1%),11778 (~0%),468 (10%),8 (~0%),0 (~0%),1,256,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,4
553327793688 (2213311.175ms),14021 (1%),11778 (~0%),468 (10%),8 (~0%),0 (~0%),1,256,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,5
553327793688 (2213311.175ms),14021 (1%),11778 (~0%),468 (10%),8 (~0%),0 (~0%),1,256,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,6
589289975164 (2357159.901ms),13618 (1%),9544 (~0%),520 (12%),9 (~0%),0 (~0%),1,16,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,7
589289975164 (2357159.901ms),13618 (1%),9544 (~0%),520 (12%),9 (~0%),0 (~0%),1,16,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,8
589289975164 (2357159.901ms),13904 (1%),9614 (~0%),520 (12%),9 (~0%),0 (~0%),32,16,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,9
589289975164 (2357159.901ms),13618 (1%),9544 (~0%),520 (12%),9 (~0%),0 (~0%),256,16,1,1,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,10
624362514309 (2497450.057ms),44813 (3%),39747 (1%),2440 (56%),9 (~0%),0 (~0%),256,16,1,28,32,1,1,1,1,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,11
585351763376 (2341407.054ms),40940 (3%),39341 (1%),2312 (53%),6 (~0%),0 (~0%),256,16,1,28,32,1,1,1,16,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,12
552467729318 (2209870.917ms),127500 (10%),125547 (5%),9024 (208%),6 (~0%),0 (~0%),256,16,1,112,32,1,1,1,16,1,1,1,1,off,off,off,off,off,off,off,off,off,off,off,1,1,1,1,1,1,1,1,1,1,1,13
,,,,,,256,16,1,112,32,1,1,1,32,1,1,1,1,off,off,off,off,off,off,off,flatten,off,off,off,1,1,1,1,1,1,1,1,1,1,1,14
,,,,,,256,16,1,112,32,1,1,1,32,1,1,1,1,off,off,off,off,off,off,off,flatten,off,off,off,1,1,1,1,1,1,1,1,1,1,1,15
,,,,,,256,32,1,112,32,1,1,1,32,1,1,1,1,off,off,off,off,off,off,off,flatten,off,off,off,1,1,1,1,1,1,1,1,1,1,1,16
